系统编码,物料名称,规格,参数1,参数2,参数3,单位名称,1-3个月,3-6个月,6-12个月,12个月以上,单价
144-137,硅钢片,B27P110 0.27*100*25mm,0.27,100,25,kg,0,1,139,0,14.778761
144-138,硅钢片,B27P110 0.27*100*350mm,0.27,100,350,kg,0,0,0,10,13.504274
144-142,硅钢片,B27P110 0.27*60*190mm 2-Ф12,0.27,60,190,kg,0,0,0,12,13.504274
144-158,硅钢片,B27P110 0.27*30*150mm,0.27,30,150,kg,9,0,0,0,14.778761
144-159,硅钢片,B27P110 0.27*30*35.5mm,0.27,30,35.5,kg,8,0,0,0,14.778761
144-168,硅钢片,B27P120 0.27*80*32.5mm,0.27,80,32.5,kg,0,0,0,12,12.393162
144-184,硅钢片,B27P110 0.27*50*320mm 3-φ12,0.27,50,320,kg,0,0,0,49,13.504274
144-198,硅钢片,B27P110 0.27*30*80mm,0.27,30,80,kg,0,0,40,0,14.778761
144-199,硅钢片,B27P110 0.27*70*420mm,0.27,70,420,kg,0,0,22,0,14.778761
144-211,硅钢片,B27P110 0.27*40*65mm,0.27,40,65,kg,0,0,73,0,22.413793
144-212,硅钢片,B27P110 0.27*30*53mm,0.27,30,53,kg,0,0,91,0,22.413793
144-213,硅钢片,B27P110 0.27*40*200mm,0.27,40,200,kg,0,3,20,0,14.396552
144-214,硅钢片,B27P110 0.27*30*90mm,0.27,30,90,kg,0,0,18,0,14.396552
144-216,硅钢片,B27P110 0.27*90*640mm,0.27,90,640,kg,0,285,0,0,14.778761
144-217,硅钢片,B27P110?0.27*90*260mm,0.27,90,260,kg,0,40,0,0,14.778761
144-218,硅钢片,B27P110?0.27*90*175mm,0.27,90,175,kg,2,52,0,0,14.778761
144-219,硅钢片,B27P110?0.27*90*440mm,0.27,90,440,kg,2,41,0,0,14.778761
144-222,硅钢片,B27P110?0.27*90*46mm,0.27,90,46,kg,0,63.5,0,0,14.778761
144-232,硅钢片,B27P110 0.27*280*50mm 3-φ14,0.27,280,50,kg,60,0,0,0,14.778761
144-236,硅钢片,B27P110 0.27*40*130mm 2-φ9,0.27,40,130,kg,0,0,23,0,#N/A
144-238,硅钢片,B27P110 0.27*40*160mm 2-φ9,0.27,40,160,kg,48,0,0,0,14.778761
144-252,硅钢片,B27P110 0.27*50*310mm 3-φ11,0.27,50,310,kg,0,84,0,0,14.778761
144-257,硅钢片,B27P110 0.27*70*380mm 3-φ14,0.27,70,380,kg,0,0,0,7,12.393162
144-273,硅钢片,B27P110 0.27*60*170mm,0.27,60,170,kg,0,0,0,13,14.102564
144-274,硅钢片,B27P110 0.27*75*545mm φ14,0.27,75,545,kg,0,0,0,700,14.482759
144-275,硅钢片,B27P110 0.27*75*315mm φ14,0.27,75,315,kg,0,0,0,138,14.482759
144-276,硅钢片,B27P110 0.27*75*195mm φ14,0.27,75,195,kg,0,0,0,172,14.482759
144-277,硅钢片,B27P110 0.27*75*29.5mm,0.27,75,29.5,kg,0,0,0,104,14.482759
144-279,硅钢片,B27P110 0.27*75*465mm 3-φ14,0.27,75,465,kg,0,0,0,78,14.482759
144-280,硅钢片,B27P110 0.27*30*37mm,0.27,30,37,kg,0,0,158,0,14.778761
144-281,硅钢片,B27P110 0.27*30*170mm 3-φ10,0.27,30,170,kg,17,0,161,0,14.778761
144-287,硅钢片,B27P110 0.27*30*220mm,0.27,30,220,kg,0,7,0,0,14.778761
144-288,硅钢片,B27P110 0.27*40*220mm,0.27,40,220,kg,0,4,0,0,14.482759
144-290,硅钢片,B27P110 0.27*30*160mm,0.27,30,160,kg,0,5,0,0,14.482759
144-293,硅钢片,B27P110 0.27*80*330,0.27,80,330,kg,0,0,0,295,14.482759
144-295,硅钢片,B27P110 0.27*100*53.5mm,0.27,100,53.5,kg,17,0,0,0,14.778761
144-296,硅钢片,B27P110 0.27*30*74mm,0.27,30,74,kg,0,0,11,0,14.778761
144-297,硅钢片,B27P110 0.27*30*100mm,0.27,30,100,kg,0,0,10,0,14.778761
144-301,硅钢片,B27P110 0.27*90*48mm,0.27,90,48,kg,0,7,0,0,14.778761
144-302,硅钢片,B27P110 0.27*75*44mm,0.27,75,44,kg,0,0,0,220,14.224138
144-303,硅钢片,B27P110 0.27*75*28mm,0.27,75,28,kg,0,0,0,6,14.224138
144-304,硅钢片,B27P110 0.27*75*22mm,0.27,75,22,kg,0,0,0,13,14.224138
144-310,硅钢片,B27P110 0.27*50*43.5mm,0.27,50,43.5,kg,69,0,0,0,14.778761
144-312,硅钢片,B27P110 0.27*75*34mm,0.27,75,34,kg,0,0,0,80,14.224138
144-313,硅钢片,B27P110 0.27*75*40mm,0.27,75,40,kg,0,0,0,30.5,14.224138
144-314,硅钢片,B27P1100.27*75*485mm,0.27,75,485,kg,0,0,0,165,14.482759
144-315,硅钢片,B27P1100.27*50*481.5mm,0.27,50,481,kg,0,0,0,130,14.482759
144-316,硅钢片,B27P110 0.27*65*35.5mm,0.27,65,35.5,kg,0,0,0,109,14.482759
144-321,硅钢片,B27P110 0.27*25*54mm,0.27,25,54,kg,0,0,50,0,14.778761
144-325,硅钢片,B27P110 0.27*80*720mm 3-φ16,0.27,80,720,kg,0,0,0,5.9,14.482759
144-327,硅钢片,B27P110 0.27*80*420mm  3-φ14,0.27,80,420,kg,0,0,0,6,14.482759
144-331,硅钢片,B27P110 0.27*75*46.5mm,0.27,75,46.5,kg,0,0,21,0,14.396552
144-332,硅钢片,B27P110 0.27*75*375mm 3-φ14,0.27,75,375,kg,0,0,12,0,14.396552
144-345,硅钢片,B27P110 0.27*70*50.5mm,0.27,70,50.5,kg,0,0,12,0,14.778761
144-350,硅钢片,B27P110 0.27*80*550mm,0.27,80,550,kg,0,5.5,0,0,14.778761
144-357,硅钢片,B27P110 0.27*90*280mm,0.27,90,280,kg,0,0,11,0,14.396552
144-363,硅钢片,B27P110 0.27*90*270mm 2-φ14,0.27,90,270,kg,7,0,0,0,14.778761
144-364,硅钢片,B27P110 0.27*90*31.5mm,0.27,90,31.5,kg,5,0,0,0,14.778761
144-365,硅钢片,B27P110 0.27*90*340mm 2-14,0.27,90,340,kg,8,0,0,0,14.778761
144-366,硅钢片,B27P110 0.27*80*35mm,0.27,80,35,kg,13,0,0,0,14.778761
144-367,硅钢片,B27P110 0.27*80*290mm 2-14,0.27,80,290,kg,21,0,0,0,14.778761
144-368,硅钢片,B27P110  0.27*20*60mm,0.27,20,60,kg,10,0,0,0,20.442478
144-369,硅钢片,B27P110  0.27*20*100/3-?4.5,0.27,20,100,kg,10,0,0,0,20.442478
144-370,硅钢片,B27P110 0.27*50*38mm,0.27,50,38,kg,0,63,0,0,14.778761
144-378,硅钢片,B27P110 0.27*90*460mm,0.27,90,460,kg,0,5.5,0,0,14.778761
144-391,硅钢片,B27P110 0.27*50*56mm,0.27,50,56,kg,5,0,0,0,14.778761
144-403,硅钢片,B27P110 0.27*80*25mm,0.27,80,25,kg,136,0,0,0,14.778761
144-404,硅钢片,B27P110 0.27*80*410mm,0.27,80,410,kg,153,0,0,0,14.778761
153-141,硅钢片,30JGH1050.3*270*50mm,0.3,270,50,kg,0,0,0,8,12.758621
153-169,硅钢片,30JGH105 0.3*100*40.5mm,0.3,100,40.5,kg,0,0,0,568,13.793103
153-176,硅钢片,30JGH105 0.3*110*780mm,0.3,110,780,kg,0,0,0,19,12.649573
153-177,硅钢片,30JGH105 0.3*140*110mm,0.3,140,110,kg,0,0,0,19,12.649573
153-178,硅钢片（退火处理）,30JGH105 0.3*610*110mm,0.3,610,110,kg,0,0,0,19,12.649573
153-261,硅钢片,B30P105  0.3*242*50 1-φ12,0.3,242,50,kg,3,0,0,0,13.716814
153-271,硅钢片,B30P105  0.3*50*180 1-φ12,0.3,50,180,kg,5,0,0,0,13.716814
153-337,硅钢片,30JGH105 0.3*60*325mm 3-Φ11,0.3,60,325,kg,10,0,0,0,13.716814
153-338,硅钢片,30JGH105 0.3*60*280mm,0.3,60,280,kg,0,6,0,0,13.716814
153-351,硅钢片,30JGH105 0.3*70*430mm Ф14,0.3,70,430,kg,0,0,0,12,10.940171
153-353,硅钢片,30JGH105 0.3*70*155mm Ф14,0.3,70,155,kg,0,0,0,7.5,10.940171
153-361,硅钢片,30JGH105 0.3*80*290mm,0.3,80,290,kg,0,0,10,0,13.793103
153-362,硅钢片,30JGH105 0.3*80*530mm,0.3,80,530,kg,0,0,5,0,13.793103
153-363,硅钢片,30JGH105 0.3*80*185mm,0.3,80,185,kg,0,0,14,0,13.793103
153-374,硅钢片,30JGH105 0.3*220*100,0.3,220,100,kg,494,0,0,0,13.716814
153-375,硅钢片,30JGH105 0.3*650*100,0.3,650,100,kg,2482,0,0,0,13.716814
153-376,硅钢片,30JGH105 0.3*340*100,0.3,340,100,kg,113,0,0,0,13.716814
153-408,硅钢片,B30P105 0.3*150*1240mm 无孔,0.3,150,1240,kg,0,0,0,16,11.794872
153-422,硅钢片,B30P120 0.3*80*35.5mm,0.3,80,35.5,kg,0,0,0,85,10.940171
153-423,硅钢片,B30P120 0.3*80*470mm,0.3,80,470,kg,0,0,0,22,10.940171
153-434,硅钢片,B30P120 0.3*100*43.5mm,0.3,100,43.5,kg,0,0,0,30,10.25641
153-435,硅钢片,B30P120 0.3*130*760mm 2-φ15,0.3,130,760,kg,0,0,0,6.8,13.076923
153-436,硅钢片,B30P120 0.3*130*900mm,0.3,130,900,kg,0,0,0,13.9,13.076923
153-437,硅钢片,B30P1205 0.3*130*770mm,0.3,130,770,kg,0,0,0,6,13.076923
153-440,硅钢片,B30P120 0.3*160*860mm 2-φ15,0.3,160,860,kg,0,0,0,15,12.222222
153-441,硅钢片,B30P120 0.3*160*1260mm,0.3,160,1260,kg,0,0,0,25,12.222222
153-442,硅钢片,B30P120 0.3*160*1100mm,0.3,160,1100,kg,0,0,0,9,12.222222
153-443,硅钢片,B30P120 0.3*90*310mm φ16,0.3,90,310,kg,483,8,3,0,13.716814
153-444,硅钢片,B30P120 0.3*90*570mm φ16,0.3,90,570,kg,2666,32,5,0,13.716814
153-445,硅钢片,B30P120 0.3*90*200mm φ16,0.3,90,200,kg,623,12,0,0,13.716814
153-456,硅钢片,B30P105 0.3*35*170mm,0.3,35,170,kg,0,0,9,0,13.793103
153-458,硅钢片,B30P120 0.3*100*730mm φ14,0.3,100,730,kg,0,0,0,6.5,13.793103
153-461,硅钢片,B30P120?0.3*130*740mm,0.3,130,740,kg,6,0,0,0,13.716814
153-462,硅钢片,B30P120?0.3*130*800mm,0.3,130,800,kg,7,0,0,0,13.716814
153-467,硅钢片,B30P120?0.3*160*990mm,0.3,160,990,kg,0,0,0,16,13.793103
153-468,硅钢片,B30P120?0.3*160*1260mm,0.3,160,1260,kg,0,0,0,28,13.793103
153-469,硅钢片,B30P120?0.3*160*1100mm,0.3,160,1100,kg,0,0,0,12,14.655172
153-470,硅钢片,B30P120 0.3*160*830mm,0.3,160,830,kg,0,0,0,31,11.111111
153-472,硅钢片,B30P120 0.3*100*370mm,0.3,100,370,kg,0,0,0,65,10.940171
153-473,硅钢片,B30P120 0.3*100*420mm,0.3,100,420,kg,0,0,0,222.4,10.940171
153-474,硅钢片,B30P120 0.3*100*235mm,0.3,100,235,kg,0,0,0,80,10.940171
153-479,硅钢片,B30P120??0.3*120*980mm,0.3,120,980,kg,0,0,0,9,11.794872
153-484,硅钢片,B30P120??0.3*110*580mm,0.3,110,580,kg,0,0,0,7,12.649573
153-488,硅钢片,B30P120??0.3*110*590mm,0.3,110,590,kg,0,7,0,0,13.716814
153-502,硅钢片,B30P120?0.30*44*120mm,0.3,44,120,kg,0,0,0,100,10.940171
153-503,硅钢片,B30P120?0.3*80*46mm,0.3,80,46,kg,0,0,0,70,10.940171
153-507,硅钢片,B30P120 ?0.3*150*910mm,0.3,150,910,kg,0,0,0,7.5,11.794872
153-508,硅钢片,B30P120 ?0.3*150*1140mm,0.3,150,1140,kg,0,0,0,10,12.649573
153-510,硅钢片,B30P120 ?0.3*130*740mm/2-16,0.3,130,740,kg,0,9,0,0,13.716814
153-511,硅钢片,B30P120 ?0.3*130*670mm,0.3,130,670,kg,0,4.5,0,0,13.716814
153-512,硅钢片,B30P120 ?0.3*130*800mm,0.3,130,800,kg,0,11,0,0,13.716814
153-513,硅钢片,B30P120 ?0.3*130*780mm,0.3,130,780,kg,0,0,0,10,11.794872
153-514,硅钢片,B30P120 ?0.3*130*900mm,0.3,130,900,kg,0,0,0,13,11.794872
153-516,硅钢片,B30P120 ?0.3*160*900mm,0.3,160,900,kg,0,0,0,10,11.794872
153-517,硅钢片,B30P120 ?0.3*160*1260mm,0.3,160,1260,kg,0,0,0,41,11.794872
153-518,硅钢片,B30P120 ?0.3*160*1100mm,0.3,160,1100,kg,0,0,0,11,11.794872
153-519,硅钢片,B30P120 ?0.3*160*1000mm,0.3,160,1000,kg,0,0,0,12,11.794872
153-528,硅钢片,B30P120 ?0.3*80*400mm,0.3,80,400,kg,0,14,0,0,13.716814
153-529,硅钢片,B30P120 ?0.3*80*475mm,0.3,80,475,kg,3,54,0,0,13.716814
153-530,硅钢片,B30P120 ?0.3*80*240mm,0.3,80,240,kg,0,12,0,0,13.716814
153-538,硅钢片,B30P120 ?0.3*160*880mm,0.3,160,880,kg,0,0,0,28,13.504274
153-541,硅钢片,B30P105 0.3*150*870mm,0.3,150,870,kg,0,0,0,10,12.649573
153-542,硅钢片,B30P120 0.3*16*80mm,0.3,16,80,kg,0,0,0,8.5,17.094017
153-543,硅钢片,B30P120 0.3*16*48mm,0.3,16,48,kg,0,0,0,7.5,17.094017
153-545,硅钢片,B30P120 0.3*52*265mm,0.3,52,265,kg,0,0,5,0,13.793103
153-549,硅钢片,B30P120 0.3*90*245mm,0.3,90,245,kg,0,0,0,5.5,12.758621
153-550,硅钢片,B30P120 0.3*90*465mm,0.3,90,465,kg,0,0,0,15.5,12.758621
153-552,硅钢片,B30P120 0.3*50*330mm φ11,0.3,50,330,kg,0,10,0,0,13.716814
153-553,硅钢片,B30P120 0.3*50*225mm φ11,0.3,50,225,kg,7,0,0,0,13.716814
153-554,硅钢片,B30P120 0.3*50*400mm φ11,0.3,50,400,kg,6,0,0,0,13.716814
153-556,硅钢片,B30P120 0.30*20*48mm,0.3,20,48,kg,0,0,0,8,18.103448
153-557,硅钢片,B30P120 0.30*20*140mm 3-φ6,0.3,20,140,kg,0,0,0,7.5,18.103448
153-565,硅钢片,B30P120 160*570*0.3mm,160,570,0.3,kg,0,0,0,7,13.793103
153-571,硅钢片,B30P120 0.30*150*350mm,0.3,150,350,kg,0,0,0,9.5,13.793103
153-572,硅钢片,B30P120 0.30*150*690mm,0.3,150,690,kg,0,0,0,18,13.793103
153-573,硅钢片,B30P120 0.30*150*550mm,0.3,150,550,kg,0,0,0,6.5,13.793103
153-577,硅钢片,B30P120 0.30*75*42.5mm,0.3,75,42.5,kg,0,0,68,0,#N/A
153-581,硅钢片,B30P120 0.30*160*305mm,0.3,160,305,kg,0,0,5,0,13.793103
153-583,硅钢片,B30P120 0.30*160*670mm,0.3,160,670,kg,0,0,5,0,13.793103
153-584,硅钢片,B30P120  0.30*80*210mm  φ19,0.3,80,210,kg,0,0,5,0,13.793103
153-585,硅钢片,B30P120 0.30*80*340mm   φ19,0.3,80,340,kg,0,0,4,0,13.793103
153-586,硅钢片,B30P120  0.30*80*705mm  φ19,0.3,80,705,kg,0,0,10,0,13.793103
153-590,硅钢片,B30P120  0.30*80*210mm  φ20,0.3,80,210,kg,0,4,0,0,13.716814
153-591,硅钢片,B30P120 0.30*80*340mm   φ20,0.3,80,340,kg,0,2,0,0,13.716814
153-592,硅钢片,B30P120  0.30*80*705mm  φ20,0.3,80,705,kg,0,16,0,0,13.716814
153-593,硅钢片,B30P120 0.30*70*192.5mm,0.3,70,192,kg,237,0,0,0,13.716814
153-594,硅钢片,B30P120 0.30*70*355mm,0.3,70,355,kg,657,0,0,0,13.716814
153-595,硅钢片,B30P120 0.30*70*315mm,0.3,70,315,kg,195,0,0,0,13.716814
153-596,硅钢片,B30P120 0.30*60*390mm φ11,0.3,60,390,kg,906,0,0,0,13.716814
153-597,硅钢片,B30P120 0.30*60*225mm φ11,0.3,60,225,kg,354,0,0,0,13.716814
153-598,硅钢片,B30P120 0.30*60*390mm φ11,0.3,60,390,kg,303,0,0,0,13.716814
175-084,硅钢片,23JGH90 0.23*80*40,0.23,80,40,kg,0,0,5,0,15.663717
175-088,硅钢片,23JGH90 0.23*60*44.5,0.23,60,44.5,kg,0,10,0,0,15.663717
175-089,硅钢片,23JGH90 0.23*60*470 3-φ14,0.23,60,470,kg,17,0,0,0,15.663717
175-118,硅钢片,23JGH90 0.23*80*220  2-Ф14,0.23,80,220,kg,0,0,4,0,15.517241
175-123,硅钢片,23JGH90 0.23*70*390  3-Ф14,0.23,70,390,kg,10,0,0,0,15.663717
175-124,硅钢片,23JGH90 0.23*70*46,0.23,70,46,kg,22,0,0,0,15.663717
175-226,硅钢片,B23P090 0.23*90*25mm,0.23,90,25,kg,0,0,12,0,15.517241
175-228,硅钢片,B23P0900.23*90*440mm,23,90,440,kg,14,0,0,0,15.663717
175-232,硅钢片,B23P090 0.23*80*39mm,0.23,80,39,kg,0,0,0,7.5,15.384615
175-233,硅钢片,B23P090 0.23*80*420mm 3-φ14,0.23,80,420,kg,0,0,12,0,15.663717
175-237,硅钢片,B23P090?0.23*100*550mm,0.23,100,550,kg,0,0,0,5.4,15.811966
175-238,硅钢片,B23P090?0.23*100*435mm,0.23,100,435,kg,0,0,0,6,15.811966
175-246,硅钢片,B23P090?0.23*40*115mm,0.23,40,115,kg,0,0,0,4,15.517241
175-248,硅钢片,B23P090?0.23*40*130mm2-φ9,0.23,40,130,kg,0,0,0,7,15.517241
175-252,硅钢片,B23P090?0.23*40*42mm,0.23,40,42,kg,0,8.5,0,0,15.663717
175-256,硅钢片,B23P090 0.23*60*51.5mm,0.23,60,51.5,kg,0,0,0,7.5,15.384615
175-257,硅钢片,B23P090?0.23*80*42.5mm,0.23,80,42.5,kg,0,0,23.5,0,15.663717
175-258,硅钢片,B23P090 0.23*75*535mm,0.23,75,535,kg,0,0,0,63,15.517241
175-259,硅钢片,B23P090 0.23*75*44mm,0.23,75,44,kg,0,0,0,31.5,15.517241
175-263,硅钢片,B23P090?0.23*50*348mm,0.23,50,348,kg,0,0,0,39,15.517241
175-270,硅钢片,B23P090 0.23*75*220mm,0.23,75,220,kg,1800,0,16,0,15.663717
175-271,硅钢片,B23P090 0.23*75*420mm,0.23,75,420,kg,5178,0,0,0,15.663717
175-272,硅钢片,B23P090 0.23*75*365mm,0.23,75,365,kg,1500,0,0,0,15.663717
175-273,硅钢片,B23P090 0.23*50*43.5mm,0.23,50,43.5,kg,0,0,0,55,16.37931
175-275,硅钢片,B23P090 0.23*50*329mm,0.23,50,329,kg,0,0,0,16,15.517241
175-276,硅钢片,B23P0900.23*43.5*75mm,0.23,43.5,75,kg,0,0,0,200,15.517241
175-283,硅钢片,B23P090 0.23*90*23mm,0.23,90,23,kg,0,0,25,0,15.517241
175-285,硅钢片,B23P090 0.23*80*400mm 3-φ14,0.23,80,400,kg,0,0,0,7.5,15.517241
175-288,硅钢片,B23P090 0.23*70*40.5mm,0.23,70,40.5,kg,0,0,0,21,15.517241
175-290,B23P090,0.23*50*160mm,0.23,50,160,kg,0,0,0,27,15.517241
175-293,B23P090,0.23*50*145mm,0.23,50,145,kg,0,0,9,0,15.517241
175-296,硅钢片,B23P090 0.23*60*46mm,0.23,60,46,kg,0,0,7,0,15.517241
175-298,硅钢片,B23P090 0.23*50*37mm,0.23,50,37,kg,0,12,0,0,15.663717
175-299,硅钢片,B23P090 0.23*50*300mm,0.23,50,300,kg,0,8,0,0,15.663717
175-300,硅钢片,B23P090 0.23*60*380mm3-φ12,0.23,60,380,kg,0,0,0,24,15.517241
175-309,硅钢片,B23P090  0.23*80*250mm,0.23,80,250,kg,0,0,8,0,15.663717
175-310,硅钢片,B23P090 0.23*80*31mm,0.23,80,31,kg,0,0,4,0,15.517241
175-311,硅钢片,B23P090 0.23*50*36.5mm,0.23,50,36.5,kg,0,0,10,0,15.517241
175-321,硅钢片,B23P090 0.23*60*440mm  3-φ14,0.23,60,440,kg,5,0,0,0,15.663717
175-327,硅钢片,B23P090 0.23*70*20mm,0.23,70,20,kg,7,0,0,0,15.663717
175-328,硅钢片,B23P090 0.23*70*330mm 3-φ14,0.23,70,330,kg,10,0,0,0,15.663717
175-338,硅钢片,B23P090 0.23*40*140mm,0.23,40,140,kg,0,11,0,0,15.663717
175-342,硅钢片,B23P090 0.23*60*43.5mm,0.23,60,43.5,kg,0,15,0,0,15.663717
175-343,硅钢片,B23P090 0.23*60*280mm,0.23,60,280,kg,33,79,0,0,15.663717
175-344,硅钢片,B23P090 0.23*60*40mm,0.23,60,40,kg,0,104,0,0,15.663717
175-345,硅钢片,B23P090 0.23*90*30.5mm,0.23,90,30.5,kg,0,20,0,0,15.663717
175-350,硅钢片,B23P090 0.23*80*41mm,0.23,80,41,kg,8,0,0,0,15.663717
175-351,硅钢片,B23P090 0.23*80*500mm 3-φ14,0.23,80,500,kg,5,0,0,0,15.663717
175-356,硅钢片,B23P090 0.23*25*60mm,0.23,25,60,kg,5,0,0,0,15.663717
175-360,硅钢片,B23P090 0.23*70*43.5mm,0.23,70,43.5,kg,60,0,0,0,15.663717
175-361,硅钢片,B23P090 0.23*70*320mm 3-φ12,0.23,70,320,kg,97,0,0,0,15.663717
175-365,硅钢片,B23P090 0.23*70*210mm 2-φ12,0.23,70,210,kg,15,0,0,0,15.663717
191-006,硅钢片,JIS 50A400 25*75*0.5,25,75,0.5,kg,0,0,0,113.5,#N/A
191-007,硅钢片,JIS 50A400 25*125*0.5,25,125,0.5,kg,0,0,0,137.5,#N/A
191-033,硅钢片,DW400-0.5  0.5*76*50,0.5,76,50,kg,297,383,0,0,6.371681
191-067,硅钢片,DW470-0.5 110*60mm,110,60,0,kg,42,0,0,0,6.371681
191-068,硅钢片,B50A470 0.5*100*200mm,0.5,100,200,kg,0,0,0,9,6.495726
191-070,硅钢片,B50A470 0.5*100*300mm,0.5,100,300,kg,0,0,0,7.5,6.495726
191-076,硅钢片,B50A470 0.5*60*380mm,0.5,60,380,kg,0,0,0,45,7.435897
191-084,硅钢片,YEIB180/60-DW470-0.5,0.5,60,90,kg,10,0,0,0,6.206897
191-087,硅钢片,B50A470 0.5*40*200mm,0.5,40,200,kg,9,0,0,0,6.371681
191-089,硅钢片,B50A470 0.5*60*280mm,0.5,60,280,kg,15,0,0,0,6.371681
